Distro,OriginCode,DPCI,RequestType,DistroStatus,SSZ,UnitSortable,TrayCode,TotalNumberofPallets,TotalNumberofFullVCPs,TotalNumberofLooseSSP,SSPsinVCP,PullMode,TotalNumberofStore,TotalNumberofSSPsintheDistro,VCPLength,VCPWidth,VCPHeight,AllocationRequestDate,AllocationRequestTime,WorkStation,Aisle,Total_locs,wave_id
000000000071649528,W,043-14-0440,BAS,N,13,Y,1,0,2,0,12,CA,23,24,22.4,12.9,7.8,2022-09-12T00:00:00,02:22:16 AM,SF22,31,1,W1
000000000071642812,W,022-08-4696,BAS,N,13,Y,1,0,0,2,6,CA,1,2,13.7,13.1,3.3,2022-09-12T00:00:00,02:21:09 AM,SF22,31,1,W1
000000000071642814,W,022-08-4697,BAS,N,13,Y,1,0,0,5,6,CA,5,5,14.8,13.1,3.3,2022-09-12T00:00:00,02:21:09 AM,SF22,31,1,W1
000000000071642620,W,022-08-0661,BAS,N,13,Y,1,0,1,1,6,CA,7,7,1.2,11.0,21.5,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642621,W,022-08-0661,BAS,N,13,Y,1,0,0,4,6,CA,4,4,1.2,11.0,21.5,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642625,W,022-08-0666,BAS,N,13,Y,1,0,2,1,6,CA,13,13,13.7,13.1,3.3,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642623,W,022-08-0662,BAS,N,13,Y,1,0,0,4,6,CA,4,4,1.2,11.0,21.5,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642577,W,022-08-0448,BAS,N,13,Y,1,0,0,3,6,CA,3,3,14.7,13.1,3.1,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642579,W,022-08-0451,BAS,N,13,Y,1,0,1,4,6,CA,10,10,13.7,13.1,3.3,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071644062,W,023-12-3092,BAS,N,13,Y,1,0,1,0,24,CA,20,24,25.5,14.9,11.4,2022-09-12T00:00:00,02:21:15 AM,SF22,31,1,W1
